Phage accession	Host lineage
DQ079876.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
DQ079877.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
DQ079878.1	{'genus': ['not defined'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
DQ079879.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
DQ079895.1	{'genus': ['not defined'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
DQ079896.1	{'genus': ['not defined'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
DQ100054.1	{'genus': ['not defined'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
DQ113772.1	{'genus': ['Streptococcus'], 'family': ['Streptococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
DQ115807.1	{'genus': ['Synechococcus'], 'family': ['Synechococcaceae'], 'order': ['Synechococcales'], 'phylum': ['Cyanobacteria']}
DQ115808.1	{'genus': ['Synechococcus'], 'family': ['Synechococcaceae'], 'order': ['Synechococcales'], 'phylum': ['Cyanobacteria']}
DQ115809.1	{'genus': ['Synechococcus'], 'family': ['Synechococcaceae'], 'order': ['Synechococcales'], 'phylum': ['Cyanobacteria']}
DQ115810.1	{'genus': ['Synechococcus'], 'family': ['Synechococcaceae'], 'order': ['Synechococcales'], 'phylum': ['Cyanobacteria']}
DQ115811.1	{'genus': ['Synechococcus'], 'family': ['Synechococcaceae'], 'order': ['Synechococcales'], 'phylum': ['Cyanobacteria']}
DQ115812.1	{'genus': ['Synechococcus'], 'family': ['Synechococcaceae'], 'order': ['Synechococcales'], 'phylum': ['Cyanobacteria']}
DQ115813.1	{'genus': ['Synechococcus'], 'family': ['Synechococcaceae'], 'order': ['Synechococcales'], 'phylum': ['Cyanobacteria']}
DQ115814.1	{'genus': ['Synechococcus'], 'family': ['Synechococcaceae'], 'order': ['Synechococcales'], 'phylum': ['Cyanobacteria']}
DQ115815.1	{'genus': ['Synechococcus'], 'family': ['Synechococcaceae'], 'order': ['Synechococcales'], 'phylum': ['Cyanobacteria']}
DQ115816.1	{'genus': ['Synechococcus'], 'family': ['Synechococcaceae'], 'order': ['Synechococcales'], 'phylum': ['Cyanobacteria']}
DQ115817.1	{'genus': ['Synechococcus'], 'family': ['Synechococcaceae'], 'order': ['Synechococcales'], 'phylum': ['Cyanobacteria']}
DQ115818.1	{'genus': ['Synechococcus'], 'family': ['Synechococcaceae'], 'order': ['Synechococcales'], 'phylum': ['Cyanobacteria']}
DQ115819.1	{'genus': ['Synechococcus'], 'family': ['Synechococcaceae'], 'order': ['Synechococcales'], 'phylum': ['Cyanobacteria']}
DQ115820.1	{'genus': ['Synechococcus'], 'family': ['Synechococcaceae'], 'order': ['Synechococcales'], 'phylum': ['Cyanobacteria']}
DQ115821.1	{'genus': ['Synechococcus'], 'family': ['Synechococcaceae'], 'order': ['Synechococcales'], 'phylum': ['Cyanobacteria']}
DQ115822.1	{'genus': ['Synechococcus'], 'family': ['Synechococcaceae'], 'order': ['Synechococcales'], 'phylum': ['Cyanobacteria']}
DQ115823.1	{'genus': ['Synechococcus'], 'family': ['Synechococcaceae'], 'order': ['Synechococcales'], 'phylum': ['Cyanobacteria']}
DQ115824.1	{'genus': ['Synechococcus'], 'family': ['Synechococcaceae'], 'order': ['Synechococcales'], 'phylum': ['Cyanobacteria']}
DQ115825.1	{'genus': ['Synechococcus'], 'family': ['Synechococcaceae'], 'order': ['Synechococcales'], 'phylum': ['Cyanobacteria']}
